曲名,作者,原曲連結,歌詞
故夢,雙笙,NONE,NONE
我的一個道姑朋友,雙笙,NONE,NONE
悅己令,劍網三,NONE,NONE
我的宅遊劍三,西涼,NONE,NONE
靜悄悄,大泫,NONE,NONE
童話鎮,三無,NONE,NONE
干物女,三無,NONE,NONE
可能否,木小雅,NONE,NONE
錦鯉抄,排骨x西瓜,NONE,NONE
海綿寶寶,回音哥,NONE,NONE
寫給我第一個喜歡的女孩的歌,洛少爺,NONE,NONE
小嫦娥,安子與九妹,NONE,NONE
我就靜靜的看著你裝逼,小緣,NONE,NONE
九連環-鄉愁夜南,樊棋,NONE,NONE
所以我停下來,那我懂你意思,NONE,NONE
浪人琵琶,胡66,NONE,NONE
大浪淘沙,特曼,NONE,NONE
芊芊,回音哥,NONE,NONE
我好想你,蘇打綠,NONE,NONE
上邪,小曲兒,NONE,NONE
永不失聯的愛,易言,NONE,NONE
夜宴風波,易言,NONE,NONE
魚仔,盧廣仲,NONE,NONE
落花情,滿漢,NONE,NONE
我的悲傷是水做的,kinsen,NONE,NONE
故夢,雙笙,NONE,NONE
我的一個道姑朋友,雙笙,NONE,NONE
悅己令,劍網三,NONE,NONE
我的宅遊劍三,西涼,NONE,NONE
靜悄悄,大泫,NONE,NONE
童話鎮,三無,NONE,NONE
干物女,三無,NONE,NONE
可能否,木小雅,NONE,NONE
錦鯉抄,排骨x西瓜,NONE,NONE
海綿寶寶,回音哥,NONE,NONE
寫給我第一個喜歡的女孩的歌,洛少爺,NONE,NONE
小嫦娥,安子與九妹,NONE,NONE
我就靜靜的看著你裝逼,小緣,NONE,NONE
九連環-鄉愁夜南,樊棋,NONE,NONE
所以我停下來,那我懂你意思,NONE,NONE
浪人琵琶,胡66,NONE,NONE
大浪淘沙,特曼,NONE,NONE
芊芊,回音哥,NONE,NONE
我好想你,蘇打綠,NONE,NONE
上邪,小曲兒,NONE,NONE
永不失聯的愛,易言,NONE,NONE
夜宴風波,易言,NONE,NONE
魚仔,盧廣仲,NONE,NONE
落花情,滿漢,NONE,NONE
我的悲傷是水做的,kinsen,NONE,NONE
故夢,雙笙,NONE,NONE
我的一個道姑朋友,雙笙,NONE,NONE
悅己令,劍網三,NONE,NONE
我的宅遊劍三,西涼,NONE,NONE
靜悄悄,大泫,NONE,NONE
童話鎮,三無,NONE,NONE
干物女,三無,NONE,NONE
可能否,木小雅,NONE,NONE
錦鯉抄,排骨x西瓜,NONE,NONE
海綿寶寶,回音哥,NONE,NONE
寫給我第一個喜歡的女孩的歌,洛少爺,NONE,NONE
小嫦娥,安子與九妹,NONE,NONE
我就靜靜的看著你裝逼,小緣,NONE,NONE
九連環-鄉愁夜南,樊棋,NONE,NONE
所以我停下來,那我懂你意思,NONE,NONE
浪人琵琶,胡66,NONE,NONE
大浪淘沙,特曼,NONE,NONE
芊芊,回音哥,NONE,NONE
我好想你,蘇打綠,NONE,NONE
上邪,小曲兒,NONE,NONE
永不失聯的愛,易言,NONE,NONE
夜宴風波,易言,NONE,NONE
魚仔,盧廣仲,NONE,NONE
落花情,滿漢,NONE,NONE
我的悲傷是水做的,kinsen,NONE,NONE
故夢,雙笙,NONE,NONE
我的一個道姑朋友,雙笙,NONE,NONE
悅己令,劍網三,NONE,NONE
我的宅遊劍三,西涼,NONE,NONE
靜悄悄,大泫,NONE,NONE
童話鎮,三無,NONE,NONE
干物女,三無,NONE,NONE
可能否,木小雅,NONE,NONE
錦鯉抄,排骨x西瓜,NONE,NONE
海綿寶寶,回音哥,NONE,NONE
寫給我第一個喜歡的女孩的歌,洛少爺,NONE,NONE
小嫦娥,安子與九妹,NONE,NONE
我就靜靜的看著你裝逼,小緣,NONE,NONE
九連環-鄉愁夜南,樊棋,NONE,NONE
所以我停下來,那我懂你意思,NONE,NONE
浪人琵琶,胡66,NONE,NONE
大浪淘沙,特曼,NONE,NONE
芊芊,回音哥,NONE,NONE
我好想你,蘇打綠,NONE,NONE
上邪,小曲兒,NONE,NONE
永不失聯的愛,易言,NONE,NONE
夜宴風波,易言,NONE,NONE
魚仔,盧廣仲,NONE,NONE
落花情,滿漢,NONE,NONE
我的悲傷是水做的,kinsen,NONE,NONE
故夢,雙笙,NONE,NONE
我的一個道姑朋友,雙笙,NONE,NONE
悅己令,劍網三,NONE,NONE
我的宅遊劍三,西涼,NONE,NONE
靜悄悄,大泫,NONE,NONE
童話鎮,三無,NONE,NONE
干物女,三無,NONE,NONE
可能否,木小雅,NONE,NONE
錦鯉抄,排骨x西瓜,NONE,NONE
海綿寶寶,回音哥,NONE,NONE
寫給我第一個喜歡的女孩的歌,洛少爺,NONE,NONE
小嫦娥,安子與九妹,NONE,NONE
我就靜靜的看著你裝逼,小緣,NONE,NONE
九連環-鄉愁夜南,樊棋,NONE,NONE
所以我停下來,那我懂你意思,NONE,NONE
浪人琵琶,胡66,NONE,NONE
大浪淘沙,特曼,NONE,NONE
芊芊,回音哥,NONE,NONE
我好想你,蘇打綠,NONE,NONE
上邪,小曲兒,NONE,NONE
永不失聯的愛,易言,NONE,NONE
夜宴風波,易言,NONE,NONE
魚仔,盧廣仲,NONE,NONE
落花情,滿漢,NONE,NONE
我的悲傷是水做的,kinsen,NONE,NONE
故夢,雙笙,NONE,NONE
我的一個道姑朋友,雙笙,NONE,NONE
悅己令,劍網三,NONE,NONE
我的宅遊劍三,西涼,NONE,NONE
